,name,type,guests,cabins,crew,length,year,model,summer_low_season_price_per_day_$,summer_high_season_price_per_day_$,Summer Cruising Regions,Summer Hot Spots,winter_low_season_price_per_day_$,winter_high_season_price_per_day_$,Winter Cruising Regions,Winter Hot Spots,description
1037,EL PECADO,Motor Yachts,9.0,4.0,4.0,23.6,2024,Maiora 24S,5429,6571,"Mediterranean, Greece",Mykonos,5429,5429,"Mediterranean, Greece",Mykonos,"The 25.1m/82'4"" motor yacht 'El Pecado' by the Italian shipyard Maiora offers flexible accommodation for up to 9 guests in 4 cabins and features interior styling by Roberto Del Re."
1038,EL REY,Motor Yachts,10.0,5.0,7.0,35.36,2022,Custom,0,0,"Bermuda, Caribbean, Antigua, Bahamas, Saint Martin, St Barts, Central America, Belize, Costa Rica",Virgin Islands,0,0,"Caribbean, Antigua, Saint Martin, St Barts, Central America, Belize, Costa Rica, Mexico",Virgin Islands,The 34.14m/112' 'El Rey' motor yacht built by shipyard Deep Sea Marine is available for charter for up to 10 guests in 5 cabins. This  yacht  features interior styling by Anita Unger.
1039,EL VIP ONE,Open Yachts,7.0,3.0,2.0,26.0,2019,Mangusta 80 Open,0,0,,,0,0,,,"The 25.7m/84'4"" 'EL VIP ONE' (ex. VIP ONE) open yacht built by the Italian shipyard Mangusta is available for charter for up to 7 guests in 3 cabins. This  yacht  features interior styling by Italian designer Mangusta."
1040,ELA,Motor Yachts,12.0,6.0,9.0,49.8,2021,50m Aluminium FDHF,0,0,"Caribbean, Antigua, Bahamas, Saint Martin, St Barts",Virgin Islands,0,0,"Caribbean, Antigua, Bahamas, Saint Martin, St Barts",Virgin Islands,"The 49.8m/163'5"" 'Ela' motor yacht built by the Dutch shipyard Heesen is available for charter for up to 12 guests in 6 cabins. This award winning  yacht  features interior styling by Italian designer Cristiano Gatto Design."
1041,ELARA 1,Gulet Yachts,24.0,12.0,7.0,41.0,2018,Custom,4786,6714,"Mediterranean, Greece, Turkey",,4786,6714,"Mediterranean, Greece, Turkey",,"The 41m/134'6"" 'Elara 1' gulet yacht built by Bodrum Shipyard is available for charter for up to 24 guests in 12 cabins."
1042,ELECON,Motor Yachts,9.0,4.0,3.0,26.0,2002,Technema 85,5143,6286,,"Ibiza, The Balearics",5071,6286,,"Ibiza, The Balearics",The 25.9m/85' 'Elecon' motor yacht built by shipyard Posillipo is available for charter for up to 9 guests in 4 cabins.
1043,ELEGANT 007,Motor Yachts,30.0,15.0,28.0,72.4,2017,Custom,87143,96286,"Mediterranean, Greece, Turkey",Mykonos,87143,96286,,,Superyacht ELEGANT 007 is readily identifiable by her futuristic sweeping profile topped by a 250m² sun deck with a 12-person spa pool.
1044,ELEGANZA,Gulet Yachts,10.0,5.0,4.0,30.91,2018,Custom,2857,3429,"Mediterranean, Croatia",,0,0,,,"The 30.91m/101'5"" 'Eleganza' gulet yacht built by shipyard Pruva is available for charter for up to 10 guests in 5 cabins."
1045,ELEMENT,Motor Yachts,8.0,4.0,3.0,24.99,2015,Custom,6714,7643,,,6714,7643,,,The 25m/82' motor yacht 'Element' by shipyard Warren Yachts offers flexible accommodation for up to 8 guests in 4 cabins.
1046,ELEMENT,Motor Yachts,12.0,6.0,9.0,42.7,2017,Akhir 140,19571,22000,"Mediterranean, Greece",Mykonos,19571,19571,"Mediterranean, Greece",Mykonos,"The 42.7m/140'1"" 'Element' motor yacht built by shipyard Cantieri di Pisa is available for charter for up to 12 guests in 6 cabins. This  yacht  features interior styling by Pisa."
